Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
Problem4,Max_Len_Writ,1.4027397260274,1,1,4,0.0601346266369733,1.34260509939042,1.46287435266437,2,2,2,1,1,1
Problem4,Max_Len_Vis,1,1,1,1,0,1,1,1,1,1,1,1,1
Problem4,Max_Len_Rec,2.56712328767123,3,1,7,0.11254248048731,2.45458080718392,2.67966576815854,3,3,3,2,2,2
Problem4,Avg_Len_Writ,0.0160576563484403,0.00843450869874947,0,0.148863894396869,0.00203954577538895,0.0140181105730514,0.0180972021238293,0.0211183232224985,0.0188240169646758,0.0237883585119694,0.00370109371538896,0,0.00478084147583546
Problem4,Avg_Len_Vis,1.46531058592794E-07,0,0,5.34838363863699E-05,2.88666185427805E-07,-1.4213512683501E-07,4.35197244020599E-07,0,0,0,0,0,0
Problem4,Avg_Len_Rec,0.824466815747051,0.766388896963052,0.374963149236238,2.31710273947322,0.0334112004342093,0.791055615312842,0.857878016181261,1.01429878348299,0.966369535005906,1.06657022873171,0.576911787226566,0.558070792050827,0.608043233171934
Problem4,Util_Writ,0.0433525663591533,0.0439830370760589,0.0104620091507182,0.106765227401861,0.00197585284685522,0.0413767135122981,0.0453284192060085,0.0572309341167123,0.0499908677674408,0.0583677792249053,0.0327405785048935,0.0249342654686474,0.0336045247966686
Problem4,Util_Vis,0.0105784471168678,0.0103764678723062,0.00179094521143019,0.0272644952540217,0.000499662942980239,0.0100787841738875,0.011078110059848,0.0132068360802394,0.0125848211791075,0.0142748344028837,0.00715659414520646,0.00617567448391069,0.00790327852064365
Problem4,Util_Rec,0.0210997612395013,0.020547672304656,0.0042947307099821,0.0531597509109991,0.000972632936755788,0.0201271283027455,0.0220723941762571,0.0268676687345373,0.0255293610522291,0.028156026333219,0.0147526901544289,0.0126807508004262,0.0156324875159977
Problem4,TIS,5.25590818017138,4.97057790924743,2.07604114179419,9.54931579778113,0.199790196092799,5.05611798407858,5.45569837626418,6.13455204126653,5.84318808761995,6.53756518337532,3.66542956114858,3.5167389173927,3.86432055810362
